name,state,address,notes,display_order,status
ATLANTIS PEDIATRIC HOSPITAL,Lagos,"plot 64, Fola Osibo, by Victoria Arobieke Junction, Off Admiralty way, Lekki ph1",City/Town: Lekki | LGA: Eti-Osa | Category: Tier 5 | Service: Paediatrics,0,active
LIFELINE CHILDREN S HOSPITAL LEKKI,Lagos,1A Augustine Anozie street Lekki phase 1,City/Town: Lekki | LGA: Ibeju - Lekki | Category: Tier 5 | Service: Paediatrics,0,active
X-SERVE CHILDREN’S HOSPITAL - LEKKI,Lagos,"House 3c Chevron, Alternative Rte, opposite Rhema church and beside Water brook school, Eti-Osa, Lagos",City/Town: Lekki | LGA: Eti-Osa | Category: Tier 3 | Service: Paediatrics,0,active
BOOST OPTICALS LTD,Lagos,"H108, Ikota shopping complex, Road 3 behind union bank, VGC Ajah",City/Town: Ajah | LGA: Ibeju - Lekki | Category: Tier 1 | Service: Optical,0,active
EYE MASTERS EYE CLINIC - AJAH,Lagos,"Graceland Estate, 1, By Yemi Suara St, Ogombo Rd, Ajah, Lagos",City/Town: Ajah | LGA: Ikeja | Category: Tier 1 | Service: Optical,0,active
RADIANT PROFESSIONAL EYE CARE CENTRE -MARINA,Lagos,"88/92 Broad Street, Lagos Island",City/Town: Broad street | LGA: Lagos Island | Category: Tier 1 | Service: Optical,0,active
"CLEAR VIEW OPTICS LIMITED, LAGOS",Lagos,"7, RIBADU ROAD, OFF AWOLOWO ROAD, IKOYI",City/Town: Ikoyi | LGA: Eti-Osa | Category: Tier 1 | Service: Optical,0,active
METROEYES LIMITED IKOYI,Lagos,"22, KEFFI STREET, OFF AWOLOWO WAY, IKOYI,LAGOS",City/Town: Ikoyi | LGA: Eti-Osa | Category: Tier 1 | Service: Optical,0,active
RADIANT PROFESSIONAL EYE CARE CENTRE - IKOYI,Lagos,"152 Awolowo Road, Ikoyi",City/Town: Ikoyi | LGA: Eti-Osa | Category: Tier 3 | Service: Optical,0,active
ULTIMATE EYE CLINIC - IKOYI,Lagos,"26,keffi street ikoyi S/W Lagos",City/Town: Ikoyi | LGA: Eti-Osa | Category: Tier 1 | Service: Optical,0,active
BERACCA EYE CLINIC LTD - LEKKI,Lagos,"Plot 6 TF Kuboye Road, Oniru Lekki",City/Town: Lekki | LGA: Eti-Osa | Category: Tier 1 | Service: Optical,0,active
EYE MASTERS LEKKI,Lagos,"PLOT 35 FREEDOM WAY, OFF ADMIRALTY WAY, BY IKATE ROUNDABOUT, LEKKI PHASE 1",City/Town: Lekki | LGA: Eti-Osa | Category: Tier 1 | Service: Optical,0,active
METROEYES LIMITED LEKKI,Lagos,"Providence Mall, Plot 1A, Block 94, Providence Street, Lekki Phase 1, Lagos.",City/Town: Lekki | LGA: Eti-Osa | Category: Tier 1 | Service: Optical,0,active
EYE MASTERS EYE CLINIC - LEKKI AGUNGI,Lagos,"17 AGUNGI AJIRAN ROAD, MUSTAPHA PLAZA OPPOSITE BAALE’S PALACE, AGUNGI LEKKI",City/Town: Lekki | LGA: Ibeju - Lekki | Category: Tier 1 | Service: Optical,0,active
EYE MASTERS EYE CLINIC - LEKKI IKATE,Lagos,"PLOT 35 FREEDOM WAY, OFF ADMIRALTY WAY, BY IKATE ROUNDABOUT, LEKKI PHASE 1",City/Town: Lekki | LGA: Ibeju - Lekki | Category: Tier 1 | Service: Optical,0,active
EYE MASTERS EYE CLINIC - LEKKI ORCHID,Lagos,"ASHLEYS PLACE MALL, ORCHID ROAD, LEKKI",City/Town: Lekki | LGA: Ibeju - Lekki | Category: Tier 1 | Service: Optical,0,active
POISE EYECARE,Lagos,"3b Emma abimbola cole, Jessy hair worlds place",City/Town: Lekki | LGA: Eti-Osa | Category: Tier 2 | Service: Optical,0,active
STANDARD OPTICAL LTD,Lagos,"14B, TAIYE OLOWU STREET, OFF VICTORIA AROBIEKE STREET, LEKKI PHASE 1, LEKKI LAGOS",City/Town: Lekki | LGA: Ibeju - Lekki | Category: Tier 1 | Service: Optical,0,active
THE EYELANDERS CLINIC,Lagos,19b Bisola Durosinmi Etti Lekki Phase 1,City/Town: Lekki | LGA: Ibeju - Lekki | Category: Tier 1 | Service: Optical,0,active
OPTIMUM VIEW LTD,Lagos,"27/29 King George V Road, Onikan",City/Town: Onikan | LGA: LagosIsland | Category: Tier 1 | Service: Optical,0,active
ACUVIEW NIGERIA LIMITED,Lagos,"NURSES HOUSE 43,CHURCHGATE STREET,1ST FLOOR OPP TOTAL,VICTORIA ISLAND",City/Town: Victoria Island | LGA: Eti-Osa | Category: Tier 1 | Service: Optical,0,active
CHOICE OPTICAL AND SURGICAL SERVICES LIMITED VICTORIA ISLAND,Lagos,"39 Adeola Odeku Street, V/Island, 4th floor Banksome building. Lagos Nearest Landmark: Post office Just Beside Hubmart Victoria Island",City/Town: Victoria Island | LGA: Eti-Osa | Category: Tier 1 | Service: Optical,0,active
UNIQUE EYE CENTRE,Lagos,"Suite 101 Edo House, Ahmadu Bello Way, Victoria Island",City/Town: Victoria Island | LGA: Eti-Osa | Category: Tier 1 | Service: Optical,0,active
VISION CAPITAL EYE HOSPITAL VICTORIA ISLAND,Lagos,1438 Sanusi Fafunwa St,City/Town: Victoria Island | LGA: Eti-Osa | Category: Tier 1 | Service: Optical,0,active
LOCUS EYE - LAGOS,Lagos,"NO. 5 JOSH'S PLACE, PLOT 13, OLADIMEJI ALO STREET, LEKKI PHASE 1, LAGOS.",City/Town: Lekki | LGA: Ibeju - Lekki | Category: Tier 1 | Service: Optical,0,active
DE SUPREME EYE CLINIC,Lagos,"29 Lekky County Rd, Road 1 Ikota Villa Estate Ikota, Lekki EPE EXPRESSWAY LAGOS STATE",City/Town: Lekki | LGA: Eti-Osa | Category: Tier 1 | Service: Optical,0,active
MEDRICVISION CLINIC,Lagos,"TRIANGLE BUSINESS PLACE, 58, LEKKI-EPE EXPRESSWAY, OSAPA LONDON, LEKKI, LAGOS",City/Town: Lekki | LGA: Eti-Osa | Category: Tier 2 | Service: Optical,0,active
EYEKANDY EYE CLINIC,Lagos,"Ritz mall, 49 adebayo doherty, lekki phase 1",City/Town: Lekki Phase 1 | LGA: Eti-Osa | Category: Tier 1 | Service: Optical,0,active
PREMIUM VISION & OPTICAL EYE CLINIC,Lagos,"No. 12 Dream Africana Way, Orchid Road, beside Enyo Filling",City/Town: Lekki | LGA: Eti-Osa | Category: Tier 2 | Service: Optical,0,active
SIGHTCITY EYE CLINIC - VI,Lagos,"FMDA Buillding,Plot 1398B Tiamiyu Savage Street,Opposite DSTV Office,Victoria Island",City/Town: Victoria Island | LGA: Eti-Osa | Category: Tier 1 | Service: Optical,0,active
TRUVISION EYE CARE CENTRE - LAGOS,Lagos,"84, OZUMBA MBADIWE AVENUE VICTORIA ISLAND",City/Town: Victoria Island | LGA: Eti-Osa | Category: Tier 1 | Service: Optical,0,active
THE EYE DOCTOR - Vi,Lagos,"Plot 241b Muri-Okunola Street, Victoria Island, Lagos",City/Town: Victoria Island | LGA: Eti-Osa | Category: International Plan | Service: Optical,0,active
ZOOM36 DENTAL CARE,Lagos,"29b Admiralty Way, Lekki Phase 1, Lagos. Opposite Ebeano Supermarket and Beside Zenith Bank",City/Town: Lekki | LGA: Eti-Osa | Category: Tier 1 | Service: Optical,0,active
EYE FOUNDATION HOSPITAL - Lekki Admiralty Way,Lagos,"7, Admiralty Way, Lekki Phase 1, Lagos",City/Town: Lekki | LGA: Eti-Osa | Category: Tier 5 | Service: Optical,0,active
EYE FOUNDATION HOSPITAL - Lekki Phase 1,Lagos,"Plot 15, Providence Street, Lekki Phase 1, Lagos",City/Town: Lekki | LGA: Eti-Osa | Category: Tier 5 | Service: Optical,0,active
FORST EYE CLINIC - LEKKI BRANCH,Lagos,"Km 52, Ibeju Lekki Epe Expressway, Opposite Ibeju Lekki L.G.A Secretariat, Igando",City/Town: Lekki | LGA: Eti-Osa | Category: Tier 1 | Service: Optical,0,active
CLEARVIEW OPTICS LIMITED LAGOS,Lagos,"100 Norman Williams Street, Ikoyi",City/Town: Ikoyi | LGA: Eti-Osa | Category: Tier 1 | Service: Optical,0,active
VISION CAPITAL EYE - SANUSI FAFUNWA,Lagos,"Plot 1438, Sanusi Fafunwa street Victoria Island Lagos",City/Town: Victoria Island | LGA: Eti Osa | Category: Tier 1 | Service: Optical,0,active
JOSGLA VISION,Lagos,"IKOTA SHOPPING COMPLEX, LEKKI EPE EXPRESSWAY,RD 3,SUITE H381,BESIDE GLOBUS SUPERMARKET,AJAH LEKKI",City/Town: Lekki | LGA: Eti-osa | Category: Tier 1 | Service: Optical,0,active
DANZEL EYE CONSULT - LAGOS,Lagos,"Lixcarl mall, first floor,opposite yomade shopping mall, Awoyaya bus stop, lekki-Epe expressway.",City/Town: Awoyaya | LGA: Ibeju - Lekki | Category: Tier 1 | Service: Optical,0,active
PEAK EYE CARE - VI,Lagos,"No 5, Sanusi fafunwa street VI Lagos",City/Town: Victoria Island | LGA: Eti-osa | Category: Tier 1 | Service: Optical,0,active
SALEM VISION EYECARE & OPTICAL SERVICES,Lagos,"Suite B25/26 JoyGood Mall, Km27 Lekki-Epe Express Way,( near Fara Park Estate), Sangotedo",City/Town: Sangotedo | LGA: Eti-osa | Category: Tier 1 | Service: Optical,0,active
DREAM SAVERS EYECARE - VI,Lagos,"100 Adetokunbo Ademola Street, Victoria Island, Lagos State.",City/Town: Victoria - Island | LGA: Eti-osa | Category: Tier 2 | Service: Optical,0,active
